Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0402_1005Metric",117.430000,-110.365000,180.000000,top
"C2","0.1uF","C_0402_1005Metric",114.430000,-112.865000,90.000000,top
"C3","0.1uF","C_0402_1005Metric",85.400000,-99.400000,270.000000,top
"C4","0.1uF","C_0402_1005Metric",81.000000,-102.000000,0.000000,top
"C5","0.1uF","C_0402_1005Metric",106.390000,-106.116477,90.000000,top
"C6","0.1uF","C_0402_1005Metric",103.700000,-103.200000,0.000000,top
"C7","0.1uF","C_0402_1005Metric",80.214190,-112.389306,90.000000,top
"C8","0.1uF","C_0402_1005Metric",77.630000,-109.520000,0.000000,top
"C9","0.1uF","C_0402_1005Metric",112.500000,-113.100000,90.000000,top
"C10","0.1uF","C_0402_1005Metric",109.900000,-110.100000,0.000000,top
"C11","0.1uF","C_0402_1005Metric",86.840000,-107.880000,90.000000,top
"C12","0.1uF","C_0402_1005Metric",84.090000,-104.630000,0.000000,top
"C13","2.2uF","C_0603_1608Metric",112.000000,-98.300000,90.000000,top
"C14","2.2uF","C_0603_1608Metric",108.500000,-100.100000,180.000000,top
"C15","5600pF","C_0402_1005Metric",111.700000,-95.500000,270.000000,top
"C16","0.1uF","C_0402_1005Metric",105.315000,-98.495000,90.000000,top
"C17","22uF","C_0805_2012Metric",108.000000,-93.100000,180.000000,top
"C18","0.1u","C_0402_1005Metric",187.960000,-48.225000,180.000000,top
"C19","0.1u","C_0402_1005Metric",187.960000,-79.375000,180.000000,top
"C20","0.1uF","C_0402_1005Metric",149.100000,-57.000000,270.000000,top
"C21","0.1uF","C_0402_1005Metric",133.100000,-58.400000,270.000000,top
"C22","0.1uF","C_0402_1005Metric",138.900000,-57.100000,270.000000,top
"C23","0.1uF","C_0402_1005Metric",143.100000,-58.300000,270.000000,top
"J25","5V","Wago_2060_2_SMD",189.895169,-126.947459,270.000000,top
"J26","5V","Wago_2060_2_SMD",189.895169,-118.797459,270.000000,top
"J27","5V","Wago_2060_2_SMD",189.895169,-94.397459,270.000000,top
"J28","5V","Wago_2060_2_SMD",189.895169,-102.547459,270.000000,top
"J29","5V","Wago_2060_2_SMD",189.895169,-110.697459,270.000000,top
"J30","12V","Wago_2060_2_SMD",189.900000,-62.200000,270.000000,top
"J31","12V","Wago_2060_2_SMD",189.900000,-70.700000,270.000000,top
"J32","24V","Wago_2060_3_SMD",163.900000,-125.000000,180.000000,top
"J33","GND","Wago_2060_3_SMD",176.250000,-125.000000,180.000000,top
"L1","10uH","XAL5050-103MEC",103.410000,-94.685000,180.000000,top
"MAX1","MAX17632","QFN-16-1EP_3x3mm_Pitch0.5mm",108.490000,-96.600000,180.000000,top
"Q1","AON7804","DFN3X3",139.450000,-105.990000,90.000000,top
"Q2","AON7804","DFN3X3",139.450000,-99.990000,90.000000,top
"Q3","AON7804","DFN3X3",139.450000,-93.990000,90.000000,top
"Q4","AON7804","DFN3X3",148.000000,-107.000000,90.000000,top
"R1","660","R_0402_1005Metric",115.645000,-103.945000,180.000000,top
"R2","660","R_0402_1005Metric",115.645000,-101.405000,0.000000,top
"R3","660","R_0402_1005Metric",115.645000,-98.865000,0.000000,top
"R4","660","R_0402_1005Metric",115.645000,-96.325000,0.000000,top
"R5","660","R_0402_1005Metric",115.645000,-93.785000,0.000000,top
"R6","660","R_0402_1005Metric",115.645000,-91.245000,0.000000,top
"R7","10k","R_0402_1005Metric",124.535000,-103.945000,0.000000,top
"R8","10k","R_0402_1005Metric",124.535000,-98.865000,0.000000,top
"R9","10k","R_0402_1005Metric",124.535000,-93.785000,0.000000,top
"R10","R","R_0402_1005Metric",123.615000,-54.700000,180.000000,top
"R11","R","R_0402_1005Metric",126.100000,-54.700000,0.000000,top
"R12","R","R_0402_1005Metric",114.585000,-54.700000,180.000000,top
"R13","R","R_0402_1005Metric",117.115000,-54.700000,0.000000,top
"R14","10k","R_0402_1005Metric",124.535000,-101.405000,0.000000,top
"R15","10k","R_0402_1005Metric",124.535000,-96.325000,0.000000,top
"R16","10k","R_0402_1005Metric",124.535000,-91.245000,0.000000,top
"R17","R","R_0402_1005Metric",105.600000,-54.700000,180.000000,top
"R18","R","R_0402_1005Metric",108.200000,-54.700000,0.000000,top
"R19","R","R_0402_1005Metric",96.600000,-54.800000,180.000000,top
"R20","R","R_0402_1005Metric",99.000000,-54.800000,0.000000,top
"R21","1k","R_0402_1005Metric",63.165000,-110.500000,180.000000,top
"R22","1k","R_0402_1005Metric",63.165000,-109.220000,180.000000,top
"R23","1k","R_0402_1005Metric",63.165000,-107.950000,180.000000,top
"R24","1k","R_0402_1005Metric",63.165000,-106.680000,180.000000,top
"R25","1k","R_0402_1005Metric",63.165000,-105.410000,180.000000,top
"R26","1k","R_0402_1005Metric",63.165000,-104.140000,180.000000,top
"R27","1k","R_0402_1005Metric",63.165000,-102.870000,180.000000,top
"R28","1k","R_0402_1005Metric",63.165000,-101.600000,180.000000,top
"R29","1k","R_0402_1005Metric",86.560000,-77.705000,0.000000,top
"R30","1k","R_0402_1005Metric",86.560000,-76.435000,0.000000,top
"R31","1k","R_0402_1005Metric",86.560000,-75.165000,0.000000,top
"R32","1k","R_0402_1005Metric",86.560000,-73.895000,0.000000,top
"R33","1k","R_0402_1005Metric",86.560000,-72.625000,0.000000,top
"R34","1k","R_0402_1005Metric",86.560000,-71.355000,0.000000,top
"R35","1k","R_0402_1005Metric",86.560000,-70.085000,0.000000,top
"R36","1k","R_0402_1005Metric",86.560000,-68.815000,0.000000,top
"R37","1k","R_0402_1005Metric",86.560000,-94.085000,0.000000,top
"R38","1k","R_0402_1005Metric",86.560000,-92.815000,0.000000,top
"R39","1k","R_0402_1005Metric",86.560000,-91.545000,0.000000,top
"R40","1k","R_0402_1005Metric",86.560000,-90.275000,0.000000,top
"R41","1k","R_0402_1005Metric",86.560000,-89.005000,0.000000,top
"R42","1k","R_0402_1005Metric",86.560000,-87.735000,0.000000,top
"R43","1k","R_0402_1005Metric",86.560000,-86.465000,0.000000,top
"R44","1k","R_0402_1005Metric",86.560000,-85.195000,0.000000,top
"R45","1k","R_0402_1005Metric",63.195000,-77.705000,180.000000,top
"R46","1k","R_0402_1005Metric",63.195000,-76.435000,180.000000,top
"R47","1k","R_0402_1005Metric",63.195000,-75.165000,180.000000,top
"R48","1k","R_0402_1005Metric",63.195000,-73.895000,180.000000,top
"R49","1k","R_0402_1005Metric",63.195000,-72.625000,180.000000,top
"R50","1k","R_0402_1005Metric",63.195000,-71.355000,180.000000,top
"R51","1k","R_0402_1005Metric",63.195000,-70.085000,180.000000,top
"R52","1k","R_0402_1005Metric",63.195000,-68.815000,180.000000,top
"R53","1k","R_0402_1005Metric",63.130000,-94.185000,180.000000,top
"R54","1k","R_0402_1005Metric",63.130000,-92.915000,180.000000,top
